int,int,int,int,int,float,int,float,float
skill_ID,id,atk,count,duringTime,cooldown,rangeType,range_1,range_2
1,1,30,0,0,0,0,0,0
1,2,60,0,0,0,0,0,0
1,3,90,0,0,0,0,0,0
1,4,120,0,0,0,0,0,0
2,1,6,0,0,0,0,0,0
2,2,10,0,0,0,0,0,0
2,3,15,0,0,0,0,0,0
2,4,20,0,0,0,0,0,0
3,1,2,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0
3,3,4,0,0,0,0,0,0
3,4,5,0,0,0,0,0,0
4,1,2,0,0,0,0,0,0
4,2,3,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0
4,4,5,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0
5,2,1,0,0,0,0,0,0
5,3,1,0,0,0,0,0,0
5,4,1,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0
6,2,1,0,0,0,0,0,0
6,3,1,0,0,0,0,0,0
6,4,1,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0
7,2,1,0,0,0,0,0,0
7,3,1,0,0,0,0,0,0
7,4,1,0,0,0,0,0,0
8,1,15,1,1,1,2,5,13
8,2,5,0,1,-0.2,2,0,0
8,3,5,0,1,-0.2,2,2,0
8,4,15,0,1,-0.2,2,0,0
9,1,40,1,1,6,2,30,10
9,2,10,0,1,-1,0,0,0
9,3,10,0,1,-1,0,0,0
9,4,20,0,1,-2,0,0,0
10,1,20,1,5,8,1,4,0
10,2,10,0,-2,-2,1,1,0
10,3,10,0,-1,-1,1,1,0
10,4,10,0,-1,-3,1,1,0
11,1,5,1,0,0.5,1,3,0
11,2,5,0,0,-0.1,1,1,0
11,3,10,0,0,-0.1,1,1,0
11,4,15,0,0,-0.2,1,1,0
12,1,20,1,4,4,1,0,0
12,2,10,1,0,-1,1,0,0
12,3,10,1,0,-1,1,0,0
12,4,20,1,0,-1,1,0,0
13,1,15,1,3,7,1,4,0
13,2,10,1,0,-2,1,1,0
13,3,15,1,0,-2,1,1,0
13,4,20,1,0,-2,1,1,0
14,1,10,1,4,2,0,0,0
