int,int,float,int,float,float
level,monster_ID,hp,atk,speed,atkspeed
1,1,10,3,8,0.5
2,1,15,4,8,0.5
3,1,20,5,8,0.5
4,1,25,6,8,0.5
5,1,30,7,8,0.5
6,1,35,8,8,0.5
7,1,40,9,8,0.5
8,1,45,10,8,0.5
9,1,50,11,8,0.5
10,1,60,12,8,0.5
11,1,70,13,8,0.5
12,1,80,14,8,0.5
13,1,90,15,8,0.5
14,1,100,16,8,0.5
15,1,120,17,8,0.5
16,1,140,18,8,0.5
17,1,160,19,8,0.5
18,1,180,20,8,0.5
19,1,200,23,8,0.5
20,1,230,26,8,0.5
21,1,260,29,8,0.5
22,1,290,32,8,0.5
23,1,320,35,8,0.5
24,1,350,38,8,0.5
25,1,390,41,8,0.5
26,1,430,44,8,0.5
27,1,470,47,8,0.5
28,1,510,50,8,0.5
29,1,550,53,8,0.5
30,1,590,56,8,0.5
31,1,630,59,8,0.5
32,1,670,62,8,0.5
1,2,5,5,20,0.5
2,2,7,6,20,0.5
3,2,10,7,20,0.5
4,2,12,8,20,0.5
5,2,15,9,20,0.5
6,2,17,10,20,0.5
7,2,20,11,20,0.5
8,2,22,12,20,0.5
9,2,25,13,20,0.5
10,2,30,14,20,0.5
11,2,35,15,20,0.5
12,2,40,16,20,0.5
13,2,50,17,20,0.5
14,2,55,18,20,0.5
15,2,60,19,20,0.5
16,2,65,20,20,0.5
17,2,70,21,20,0.5
18,2,75,22,20,0.5
19,2,80,23,20,0.5
20,2,85,24,20,0.5
21,2,90,25,20,0.5
22,2,95,26,20,0.5
23,2,100,27,20,0.5
24,2,105,28,20,0.5
25,2,110,29,20,0.5
26,2,115,30,20,0.5
27,2,120,31,20,0.5
28,2,125,32,20,0.5
29,2,130,33,20,0.5
30,2,135,34,20,0.5
31,2,140,35,20,0.5
32,2,145,36,20,0.5
