int,int,int,int,int,float,int,float,float
id,skill_ID,atk,count,duringTime,cooldown,rangeType,range_1,range_2
1,1,5,0,0,0,0,0,0
2,1,5,0,0,0,0,0,0
3,1,5,0,0,0,0,0,0
4,1,5,0,0,0,0,0,0
1,2,5,0,0,0,0,0,0
2,2,5,0,0,0,0,0,0
3,2,5,0,0,0,0,0,0
4,2,5,0,0,0,0,0,0
1,3,5,0,0,0,0,0,0
2,3,5,0,0,0,0,0,0
3,3,5,0,0,0,0,0,0
4,3,5,0,0,0,0,0,0
1,4,5,0,0,0,0,0,0
2,4,5,0,0,0,0,0,0
3,4,5,0,0,0,0,0,0
4,4,5,0,0,0,0,0,0
1,5,5,0,0,0,0,0,0
2,5,5,0,0,0,0,0,0
3,5,5,0,0,0,0,0,0
4,5,5,0,0,0,0,0,0
1,6,5,0,0,0,0,0,0
2,6,5,0,0,0,0,0,0
3,6,5,0,0,0,0,0,0
4,6,5,0,0,0,0,0,0
1,7,5,0,0,0,0,0,0
2,7,5,0,0,0,0,0,0
3,7,5,0,0,0,0,0,0
4,7,5,0,0,0,0,0,0
